	Fixation Duration_m_WF002_1PT.avi_eye_N	Fixation Duration_m_WF002_1PT.avi_eye_Mean	Fixation Duration_m_WF002_1PT.avi_eye_Sum	Fixation Duration_m_WF002_1PT.avi_eye_Stdev	Fixation Duration_m_WF002_1PT.avi_mouth_N	Fixation Duration_m_WF002_1PT.avi_mouth_Mean	Fixation Duration_m_WF002_1PT.avi_mouth_Sum	Fixation Duration_m_WF002_1PT.avi_mouth_Stdev	Fixation Duration_m_WF009_4PL.avi_eye_N	Fixation Duration_m_WF009_4PL.avi_eye_Mean	Fixation Duration_m_WF009_4PL.avi_eye_Sum	Fixation Duration_m_WF009_4PL.avi_eye_Stdev	Fixation Duration_m_WF009_4PL.avi_mouth_N	Fixation Duration_m_WF009_4PL.avi_mouth_Mean	Fixation Duration_m_WF009_4PL.avi_mouth_Sum	Fixation Duration_m_WF009_4PL.avi_mouth_Stdev	Fixation Duration_m_WF011_1PT.avi_eye_N	Fixation Duration_m_WF011_1PT.avi_eye_Mean	Fixation Duration_m_WF011_1PT.avi_eye_Sum	Fixation Duration_m_WF011_1PT.avi_eye_Stdev	Fixation Duration_m_WF011_1PT.avi_mouth_N	Fixation Duration_m_WF011_1PT.avi_mouth_Mean	Fixation Duration_m_WF011_1PT.avi_mouth_Sum	Fixation Duration_m_WF011_1PT.avi_mouth_Stdev	Fixation Duration_m_WF013_1PT.avi_eye_N	Fixation Duration_m_WF013_1PT.avi_eye_Mean	Fixation Duration_m_WF013_1PT.avi_eye_Sum	Fixation Duration_m_WF013_1PT.avi_eye_Stdev	Fixation Duration_m_WF013_1PT.avi_mouth_N	Fixation Duration_m_WF013_1PT.avi_mouth_Mean	Fixation Duration_m_WF013_1PT.avi_mouth_Sum	Fixation Duration_m_WF013_1PT.avi_mouth_Stdev	Fixation Duration_m_WF014_4PL.avi_eye_N	Fixation Duration_m_WF014_4PL.avi_eye_Mean	Fixation Duration_m_WF014_4PL.avi_eye_Sum	Fixation Duration_m_WF014_4PL.avi_eye_Stdev	Fixation Duration_m_WF014_4PL.avi_mouth_N	Fixation Duration_m_WF014_4PL.avi_mouth_Mean	Fixation Duration_m_WF014_4PL.avi_mouth_Sum	Fixation Duration_m_WF014_4PL.avi_mouth_Stdev	Fixation Duration_m_WF017_4PL.avi_eye_N	Fixation Duration_m_WF017_4PL.avi_eye_Mean	Fixation Duration_m_WF017_4PL.avi_eye_Sum	Fixation Duration_m_WF017_4PL.avi_eye_Stdev	Fixation Duration_m_WF017_4PL.avi_mouth_N	Fixation Duration_m_WF017_4PL.avi_mouth_Mean	Fixation Duration_m_WF017_4PL.avi_mouth_Sum	Fixation Duration_m_WF017_4PL.avi_mouth_Stdev	Fixation Duration_m_WF022_4PL.avi_eye_N	Fixation Duration_m_WF022_4PL.avi_eye_Mean	Fixation Duration_m_WF022_4PL.avi_eye_Sum	Fixation Duration_m_WF022_4PL.avi_eye_Stdev	Fixation Duration_m_WF022_4PL.avi_mouth_N	Fixation Duration_m_WF022_4PL.avi_mouth_Mean	Fixation Duration_m_WF022_4PL.avi_mouth_Sum	Fixation Duration_m_WF022_4PL.avi_mouth_Stdev	Fixation Duration_m_WF024_1PT.avi_eye_N	Fixation Duration_m_WF024_1PT.avi_eye_Mean	Fixation Duration_m_WF024_1PT.avi_eye_Sum	Fixation Duration_m_WF024_1PT.avi_eye_Stdev	Fixation Duration_m_WF024_1PT.avi_mouth_N	Fixation Duration_m_WF024_1PT.avi_mouth_Mean	Fixation Duration_m_WF024_1PT.avi_mouth_Sum	Fixation Duration_m_WF024_1PT.avi_mouth_Stdev	Fixation Duration_s_WF005_4PL.avi_eye_N	Fixation Duration_s_WF005_4PL.avi_eye_Mean	Fixation Duration_s_WF005_4PL.avi_eye_Sum	Fixation Duration_s_WF005_4PL.avi_eye_Stdev	Fixation Duration_s_WF005_4PL.avi_mouth_N	Fixation Duration_s_WF005_4PL.avi_mouth_Mean	Fixation Duration_s_WF005_4PL.avi_mouth_Sum	Fixation Duration_s_WF005_4PL.avi_mouth_Stdev	Fixation Duration_s_WF007_4PL.avi_eye_N	Fixation Duration_s_WF007_4PL.avi_eye_Mean	Fixation Duration_s_WF007_4PL.avi_eye_Sum	Fixation Duration_s_WF007_4PL.avi_eye_Stdev	Fixation Duration_s_WF007_4PL.avi_mouth_N	Fixation Duration_s_WF007_4PL.avi_mouth_Mean	Fixation Duration_s_WF007_4PL.avi_mouth_Sum	Fixation Duration_s_WF007_4PL.avi_mouth_Stdev	Fixation Duration_s_WF016_4PL.avi_eye_N	Fixation Duration_s_WF016_4PL.avi_eye_Mean	Fixation Duration_s_WF016_4PL.avi_eye_Sum	Fixation Duration_s_WF016_4PL.avi_eye_Stdev	Fixation Duration_s_WF016_4PL.avi_mouth_N	Fixation Duration_s_WF016_4PL.avi_mouth_Mean	Fixation Duration_s_WF016_4PL.avi_mouth_Sum	Fixation Duration_s_WF016_4PL.avi_mouth_Stdev	Fixation Duration_s_WF018_1PT.avi_eye_N	Fixation Duration_s_WF018_1PT.avi_eye_Mean	Fixation Duration_s_WF018_1PT.avi_eye_Sum	Fixation Duration_s_WF018_1PT.avi_eye_Stdev	Fixation Duration_s_WF018_1PT.avi_mouth_N	Fixation Duration_s_WF018_1PT.avi_mouth_Mean	Fixation Duration_s_WF018_1PT.avi_mouth_Sum	Fixation Duration_s_WF018_1PT.avi_mouth_Stdev	Fixation Duration_s_WF021_1PT.avi_eye_N	Fixation Duration_s_WF021_1PT.avi_eye_Mean	Fixation Duration_s_WF021_1PT.avi_eye_Sum	Fixation Duration_s_WF021_1PT.avi_eye_Stdev	Fixation Duration_s_WF021_1PT.avi_mouth_N	Fixation Duration_s_WF021_1PT.avi_mouth_Mean	Fixation Duration_s_WF021_1PT.avi_mouth_Sum	Fixation Duration_s_WF021_1PT.avi_mouth_Stdev	Fixation Duration_s_WF022_1PT.avi_eye_N	Fixation Duration_s_WF022_1PT.avi_eye_Mean	Fixation Duration_s_WF022_1PT.avi_eye_Sum	Fixation Duration_s_WF022_1PT.avi_eye_Stdev	Fixation Duration_s_WF022_1PT.avi_mouth_N	Fixation Duration_s_WF022_1PT.avi_mouth_Mean	Fixation Duration_s_WF022_1PT.avi_mouth_Sum	Fixation Duration_s_WF022_1PT.avi_mouth_Stdev	Fixation Duration_s_WF023_4PL.avi_eye_N	Fixation Duration_s_WF023_4PL.avi_eye_Mean	Fixation Duration_s_WF023_4PL.avi_eye_Sum	Fixation Duration_s_WF023_4PL.avi_eye_Stdev	Fixation Duration_s_WF023_4PL.avi_mouth_N	Fixation Duration_s_WF023_4PL.avi_mouth_Mean	Fixation Duration_s_WF023_4PL.avi_mouth_Sum	Fixation Duration_s_WF023_4PL.avi_mouth_Stdev	Fixation Duration_s_WF025_1PT.avi_eye_N	Fixation Duration_s_WF025_1PT.avi_eye_Mean	Fixation Duration_s_WF025_1PT.avi_eye_Sum	Fixation Duration_s_WF025_1PT.avi_eye_Stdev	Fixation Duration_s_WF025_1PT.avi_mouth_N	Fixation Duration_s_WF025_1PT.avi_mouth_Mean	Fixation Duration_s_WF025_1PT.avi_mouth_Sum	Fixation Duration_s_WF025_1PT.avi_mouth_Stdev
P10	16	0.50	8.00	0.33	2	0.43	0.87	0.13	5	0.30	1.48	0.22	5	0.59	2.93	0.41	3	0.40	1.20	0.35	4	1.42	5.69	0.59	3	0.19	0.57	0.15	8	1.05	8.38	0.51	6	0.60	3.61	0.49	3	1.25	3.76	1.06	10	0.56	5.62	0.39	3	0.51	1.54	0.06	3	0.81	2.44	0.55	6	0.82	4.92	0.23	10	0.47	4.73	0.55	3	0.33	1.00	0.35	4	0.46	1.82	0.38	5	0.54	2.70	0.26	8	0.60	4.77	0.38	2	0.16	0.32	0.09	18	0.50	8.99	0.45	2	0.82	1.64	0.92	7	0.35	2.47	0.25	6	0.25	1.48	0.10	5	0.18	0.91	0.28	7	0.48	3.34	0.41	2	0.10	0.20	0.07	7	0.43	3.04	0.21	-	-	-	-	4	1.15	4.62	0.80	5	0.62	3.10	0.28	-	-	-	-
P11	19	0.37	7.02	0.28	-	-	-	-	29	0.31	9.04	0.30	4	0.38	1.52	0.21	22	0.29	6.47	0.24	6	0.35	2.11	0.19	20	0.49	9.74	0.43	3	0.36	1.07	0.02	25	0.53	13.23	0.50	4	0.64	2.55	0.35	41	0.36	14.86	0.41	-	-	-	-	24	0.30	7.26	0.29	4	0.55	2.21	0.32	33	0.69	22.68	0.65	-	-	-	-	29	0.41	11.87	0.30	4	0.46	1.84	0.24	36	0.37	13.29	0.30	3	0.30	0.89	0.14	43	0.32	13.79	0.22	10	0.31	3.12	0.22	44	0.30	13.15	0.21	-	-	-	-	25	0.29	7.31	0.23	1	0.20	0.20	-	29	0.30	8.59	0.19	7	0.36	2.52	0.12	16	0.25	3.98	0.22	3	0.23	0.68	0.13	14	0.20	2.75	0.16	5	0.12	0.60	0.09
P12	2	0.76	1.52	0.42	9	0.68	6.09	0.37	7	0.33	2.29	0.17	7	1.04	7.31	0.63	1	2.12	2.12	-	11	0.87	9.54	0.43	1	0.60	0.60	-	13	0.64	8.34	0.60	4	0.47	1.88	0.23	24	0.94	22.53	0.75	13	0.27	3.53	0.20	19	0.45	8.50	0.27	1	0.40	0.40	-	27	0.60	16.09	0.40	4	0.17	0.68	0.20	19	0.57	10.92	0.52	3	0.51	1.52	0.49	6	0.52	3.11	0.43	4	0.36	1.43	0.19	10	0.31	3.09	0.22	7	0.23	1.60	0.13	6	0.59	3.53	0.10	5	0.52	2.59	0.25	20	0.45	8.90	0.27	4	0.42	1.69	0.29	17	0.69	11.80	0.73	-	-	-	-	15	0.74	11.04	0.35	1	0.05	0.05	-	14	0.59	8.28	0.45	6	0.38	2.28	0.38	6	0.87	5.21	0.99
P13	4	3.10	12.41	5.48	1	0.24	0.24	-	-	-	-	-	-	-	-	-	10	2.87	28.73	2.33	1	0.36	0.36	-	11	3.21	35.30	3.35	2	0.05	0.10	0.00	16	1.81	28.93	1.69	1	2.37	2.37	-	25	1.01	25.20	0.94	2	0.42	0.83	0.19	14	2.42	33.82	1.78	-	-	-	-	21	1.65	34.58	2.46	-	-	-	-	9	3.98	35.82	2.12	-	-	-	-	6	6.15	36.92	4.52	-	-	-	-	19	1.73	32.87	1.60	1	0.34	0.34	-	19	1.49	28.29	1.77	1	0.26	0.26	-	20	1.11	22.13	1.65	1	0.08	0.08	-	6	4.34	26.03	3.19	2	0.85	1.69	0.55	12	2.52	30.28	2.12	5	0.72	3.58	0.53	19	1.11	21.17	1.32	1	0.45	0.45	-
P14	7	0.50	3.49	0.34	11	0.52	5.75	0.29	10	0.40	3.99	0.24	17	0.60	10.26	0.35	2	0.05	0.10	0.00	31	0.65	20.20	0.65	2	0.93	1.87	0.32	33	0.44	14.53	0.38	1	0.26	0.26	-	34	0.56	18.88	0.49	6	0.25	1.49	0.24	29	0.53	15.39	0.55	1	0.06	0.06	-	52	0.55	28.63	0.40	2	0.33	0.66	0.25	25	0.74	18.52	0.67	-	-	-	-	37	0.49	18.25	0.52	1	0.21	0.21	-	46	0.56	25.89	0.41	2	0.07	0.14	0.01	41	0.50	20.63	0.36	2	0.49	0.97	0.48	51	0.46	23.40	0.36	1	0.42	0.42	-	18	0.99	17.75	0.91	-	-	-	-	57	0.51	28.90	0.33	-	-	-	-	35	0.99	34.72	0.74	1	0.17	0.17	-	30	0.65	19.37	0.57
P15	4	0.15	0.61	0.18	-	-	-	-	9	0.43	3.91	0.37	-	-	-	-	7	0.39	2.71	0.10	-	-	-	-	5	0.37	1.83	0.30	-	-	-	-	11	0.49	5.36	0.33	-	-	-	-	10	0.79	7.86	0.82	-	-	-	-	14	0.36	5.03	0.34	2	0.90	1.79	1.20	15	0.34	5.11	0.27	-	-	-	-	10	0.85	8.49	0.88	1	0.03	0.03	-	7	0.28	1.99	0.25	-	-	-	-	14	0.41	5.76	0.34	-	-	-	-	11	0.25	2.73	0.13	1	0.00	0.00	-	-	-	-	-	-	-	-	-	12	0.31	3.73	0.29	-	-	-	-	3	0.20	0.59	0.12	-	-	-	-	2	0.19	0.38	0.24	-	-	-	-
P16	15	0.78	11.74	0.72	4	0.35	1.41	0.29	18	0.62	11.08	0.44	4	0.15	0.59	0.13	18	0.38	6.76	0.22	5	0.11	0.56	0.11	28	0.49	13.76	0.47	3	0.53	1.59	0.23	20	0.51	10.30	0.44	5	0.24	1.19	0.22	14	0.53	7.48	0.59	8	0.16	1.27	0.17	19	0.37	7.09	0.39	12	0.37	4.44	0.53	10	0.48	4.85	0.39	6	0.39	2.36	0.60	10	0.37	3.67	0.20	12	0.41	4.95	0.35	11	0.37	4.06	0.37	11	0.39	4.32	0.31	13	0.25	3.30	0.18	12	0.42	4.99	0.35	12	0.35	4.22	0.33	29	0.48	13.93	0.34	2	0.05	0.11	0.06	21	0.85	17.85	0.93	5	0.38	1.92	0.26	23	0.54	12.52	0.47	9	0.29	2.65	0.21	18	0.72	13.00	0.60	5	0.31	1.56	0.44	8	0.45	3.60	0.42
P17	2	0.94	1.89	0.43	3	0.32	0.95	0.25	2	0.53	1.07	0.54	3	0.54	1.63	0.30	1	0.09	0.09	-	3	0.71	2.12	0.42	1	0.17	0.17	-	-	-	-	-	1	0.03	0.03	-	1	0.72	0.72	-	7	0.48	3.39	0.20	5	0.47	2.33	0.31	1	0.93	0.93	-	6	0.73	4.39	0.38	1	0.22	0.22	-	3	0.28	0.84	0.03	4	0.13	0.50	0.09	5	0.76	3.81	0.65	2	0.42	0.84	0.45	1	0.26	0.26	-	3	1.34	4.01	1.28	3	0.32	0.95	0.12	4	0.45	1.81	0.17	3	0.10	0.30	0.12	3	0.83	2.48	0.72	9	1.07	9.61	1.74	-	-	-	-	3	0.81	2.43	0.20	1	0.08	0.08	-	3	0.39	1.18	0.31	6	0.34	2.05	0.16	-	-	-	-
P18	23	0.52	12.00	0.61	7	0.69	4.83	0.66	11	0.40	4.35	0.28	9	0.88	7.92	0.68	9	0.38	3.43	0.30	21	0.69	14.45	0.48	-	-	-	-	15	1.22	18.34	2.00	8	0.41	3.31	0.27	17	0.72	12.26	0.49	14	0.51	7.09	0.43	14	0.64	8.93	0.42	7	0.46	3.23	0.37	20	0.82	16.36	0.74	5	0.86	4.28	0.62	12	1.19	14.29	1.86	26	0.31	8.14	0.19	19	0.45	8.57	0.23	9	0.51	4.55	0.39	10	0.48	4.84	0.44	9	0.59	5.28	0.65	22	0.55	12.06	0.27	7	0.36	2.52	0.19	25	0.61	15.32	0.39	2	0.42	0.83	0.48	11	1.12	12.35	1.20	2	0.13	0.25	0.18	17	0.55	9.41	0.51	1	0.17	0.17	-	11	0.75	8.25	0.64	2	0.25	0.49	0.09	16	0.64	10.25	0.49
P19	13	0.47	6.15	0.38	8	0.16	1.32	0.14	30	0.44	13.25	0.40	1	0.38	0.38	-	19	0.34	6.49	0.29	6	0.36	2.13	0.11	18	0.56	10.00	0.57	10	0.50	4.96	0.53	24	0.89	21.26	1.06	4	0.46	1.84	0.41	11	0.38	4.16	0.36	3	0.14	0.43	0.12	15	0.75	11.21	0.71	2	0.32	0.65	0.20	13	0.54	6.98	0.55	-	-	-	-	27	1.16	31.23	0.75	2	0.50	0.99	0.38	34	0.79	26.89	0.74	-	-	-	-	38	0.68	26.02	0.75	1	0.34	0.34	-	23	0.84	19.38	0.59	3	0.23	0.70	0.24	17	0.65	10.98	0.39	5	0.35	1.75	0.27	20	0.70	13.98	0.47	7	0.39	2.71	0.27	9	1.26	11.38	1.28	2	0.23	0.46	0.10	22	0.86	19.01	0.89	4	0.15	0.61	0.10
P20	1	0.09	0.09	-	12	0.17	2.01	0.14	2	0.38	0.76	0.14	15	0.44	6.58	0.62	2	0.17	0.34	0.11	30	0.43	12.86	0.47	2	0.21	0.42	0.28	9	0.54	4.90	0.37	4	0.10	0.40	0.08	17	0.48	8.20	0.46	7	0.23	1.63	0.18	21	0.21	4.45	0.20	1	0.17	0.17	-	27	0.42	11.43	0.56	-	-	-	-	5	0.32	1.60	0.26	-	-	-	-	15	0.28	4.17	0.27	4	0.17	0.68	0.13	7	0.07	0.52	0.11	11	0.25	2.74	0.19	12	0.31	3.69	0.16	6	0.27	1.61	0.18	26	0.23	5.94	0.19	4	0.15	0.60	0.13	27	0.78	21.07	0.78	1	0.29	0.29	-	18	0.31	5.53	0.37	-	-	-	-	25	0.51	12.83	0.48	3	0.16	0.47	0.11	20	0.41	8.23	0.37
P21	9	0.27	2.40	0.11	13	1.30	16.86	1.50	5	0.26	1.29	0.05	15	0.96	14.38	0.57	-	-	-	-	21	1.29	27.08	1.24	2	0.24	0.48	0.25	19	0.90	17.18	0.55	14	0.30	4.16	0.18	19	1.02	19.33	0.74	6	0.41	2.48	0.23	23	0.63	14.42	0.55	1	0.13	0.13	-	20	1.74	34.76	2.50	7	0.23	1.63	0.26	24	0.63	15.23	0.48	1	0.03	0.03	-	24	0.53	12.62	0.33	-	-	-	-	38	0.81	30.67	0.57	3	0.25	0.75	0.05	23	0.70	16.13	0.40	-	-	-	-	46	0.55	25.39	0.42	-	-	-	-	23	1.04	23.96	1.17	-	-	-	-	39	0.75	29.41	0.72	-	-	-	-	42	0.84	35.34	0.90	-	-	-	-	17	1.15	19.60	1.31
P23	48	0.42	20.27	0.33	1	0.23	0.23	-	57	0.40	22.78	0.27	2	0.51	1.02	0.38	59	0.40	23.69	0.27	6	0.40	2.42	0.43	58	0.54	31.57	0.60	1	0.37	0.37	-	46	0.45	20.71	0.39	5	0.18	0.91	0.18	42	0.56	23.35	0.63	-	-	-	-	36	0.69	24.74	0.63	3	0.51	1.54	0.77	29	0.40	11.65	0.40	4	0.43	1.73	0.26	57	0.28	15.96	0.22	4	0.14	0.58	0.13	30	0.24	7.05	0.21	3	0.07	0.21	0.05	25	0.58	14.46	0.72	3	0.49	1.47	0.67	39	0.31	12.09	0.23	1	0.01	0.01	-	16	0.25	4.01	0.40	7	0.43	3.04	0.53	21	0.47	9.83	0.44	3	0.50	1.50	0.41	24	0.38	9.10	0.40	5	0.35	1.74	0.14	9	0.25	2.23	0.14	2	0.04	0.08	0.04
P24	22	0.79	17.32	0.66	1	0.36	0.36	-	10	0.75	7.49	0.53	3	0.96	2.88	0.58	7	0.32	2.21	0.20	8	0.57	4.57	0.52	4	0.53	2.10	0.47	1	0.85	0.85	-	19	0.74	13.99	1.00	5	0.62	3.09	0.47	31	0.59	18.24	0.46	1	0.16	0.16	-	10	0.53	5.35	0.56	5	0.86	4.30	0.86	19	0.65	12.35	0.58	3	0.71	2.14	0.07	25	0.84	21.12	0.84	2	1.05	2.10	1.12	14	0.80	11.16	0.80	1	0.14	0.14	-	26	0.73	19.05	0.64	1	0.28	0.28	-	18	0.51	9.13	0.37	7	0.24	1.65	0.15	10	0.39	3.87	0.31	5	0.52	2.60	0.31	3	0.37	1.10	0.14	3	1.18	3.55	0.81	-	-	-	-	-	-	-	-	7	0.31	2.16	0.22	-	-	-	-
P25	11	1.41	15.48	2.11	-	-	-	-	9	1.51	13.61	1.42	1	0.22	0.22	-	18	0.96	17.24	0.91	-	-	-	-	13	1.19	15.44	0.92	1	0.45	0.45	-	13	1.17	15.19	0.92	1	0.05	0.05	-	26	0.74	19.11	0.66	-	-	-	-	19	1.35	25.64	1.31	3	0.67	2.00	0.36	20	0.63	12.54	0.47	-	-	-	-	14	0.60	8.41	0.70	-	-	-	-	29	0.59	17.06	0.54	3	0.04	0.13	0.00	25	0.75	18.82	0.69	1	0.05	0.05	-	28	0.59	16.46	0.63	1	0.18	0.18	-	7	0.31	2.14	0.45	1	0.04	0.04	-	28	0.38	10.77	0.31	2	0.17	0.35	0.02	18	0.47	8.47	0.47	1	0.92	0.92	-	11	0.47	5.20	0.47	1	0.03	0.03	-
P26	15	1.52	22.84	1.44	9	0.43	3.86	0.43	18	1.39	25.09	2.20	4	0.45	1.79	0.35	26	0.44	11.37	0.30	11	0.55	6.06	0.27	23	0.96	22.05	0.71	12	0.80	9.63	0.65	25	0.82	20.39	1.47	10	0.52	5.21	0.32	23	0.87	20.08	1.25	9	0.25	2.21	0.17	11	0.62	6.77	0.47	11	0.54	5.93	0.44	16	0.72	11.52	0.61	9	0.23	2.10	0.28	21	0.84	17.64	1.66	7	0.48	3.34	0.63	18	0.79	14.24	0.75	16	0.33	5.20	0.28	23	0.61	14.11	0.93	5	0.89	4.44	0.59	13	0.63	8.16	0.31	26	0.46	11.90	0.40	10	0.58	5.84	0.33	11	0.52	5.71	0.71	12	0.75	9.06	1.19	11	0.85	9.31	1.01	20	0.85	16.91	1.12	14	0.87	12.11	1.14	7	0.52	3.67	0.45	5	0.78	3.88	0.71
P27	3	0.22	0.66	0.05	14	0.51	7.19	0.61	1	0.23	0.23	-	28	0.54	15.21	0.37	4	0.23	0.94	0.15	24	0.64	15.38	0.62	1	0.09	0.09	-	40	0.54	21.64	0.30	5	0.16	0.80	0.07	18	0.47	8.40	0.31	4	0.07	0.28	0.04	23	0.59	13.51	0.60	1	0.15	0.15	-	45	0.47	20.98	0.31	1	0.17	0.17	-	34	0.46	15.52	0.32	1	0.16	0.16	-	35	0.47	16.53	0.28	1	0.15	0.15	-	44	0.47	20.80	0.33	5	0.17	0.87	0.17	26	0.47	12.18	0.41	4	0.20	0.79	0.10	38	0.41	15.74	0.21	-	-	-	-	37	0.76	28.27	0.69	2	0.02	0.04	0.01	37	0.41	15.02	0.25	1	0.19	0.19	-	45	0.52	23.57	0.41	-	-	-	-	21	0.47	9.84	0.27
P28	16	0.99	15.79	1.17	4	0.25	1.01	0.14	1	0.14	0.14	-	13	0.62	8.05	0.42	9	0.35	3.15	0.20	20	0.67	13.46	0.38	1	0.51	0.51	-	11	0.51	5.59	0.47	22	0.54	11.89	0.42	16	0.43	6.95	0.24	10	0.92	9.23	0.75	19	0.30	5.76	0.23	10	0.20	2.03	0.17	27	0.36	9.74	0.24	15	0.45	6.68	0.33	19	0.35	6.71	0.24	8	1.24	9.90	1.27	11	0.44	4.82	0.18	9	0.78	7.00	0.57	16	0.45	7.18	0.23	19	0.51	9.71	0.54	19	0.33	6.21	0.15	6	0.41	2.47	0.32	23	0.50	11.55	0.38	4	0.17	0.70	0.09	26	0.75	19.45	0.71	1	0.16	0.16	-	14	0.45	6.31	0.31	3	1.23	3.70	0.71	20	0.39	7.80	0.34	2	0.41	0.81	0.17	21	0.49	10.22	0.29
P29	27	0.97	26.09	0.97	1	0.76	0.76	-	36	0.69	24.76	0.39	9	0.40	3.61	0.36	33	0.91	30.15	0.48	3	1.17	3.51	1.06	35	0.93	32.54	0.34	1	1.19	1.19	-	20	1.37	27.45	0.86	2	0.79	1.58	0.23	23	1.36	31.26	1.38	1	0.19	0.19	-	26	1.27	32.93	1.00	4	0.81	3.23	0.24	29	1.20	34.79	0.99	-	-	-	-	31	0.87	27.09	0.52	5	1.05	5.25	1.12	28	1.22	34.10	1.03	-	-	-	-	36	0.82	29.44	0.69	2	0.29	0.58	0.32	20	1.09	21.73	0.94	-	-	-	-	23	0.97	22.24	0.89	1	0.71	0.71	-	30	0.80	24.15	0.55	5	0.48	2.41	0.40	18	0.85	15.35	0.48	3	1.06	3.19	0.29	21	0.97	20.30	0.99	1	0.08	0.08	-
P30	14	1.03	14.37	1.55	3	1.07	3.21	1.54	5	0.40	2.01	0.24	5	0.64	3.20	0.45	17	0.78	13.30	0.99	7	0.69	4.80	0.42	16	0.84	13.37	0.61	10	1.06	10.58	2.30	15	0.64	9.62	0.56	10	1.91	19.12	1.37	28	0.49	13.85	0.42	9	0.33	2.95	0.19	18	0.34	6.12	0.18	16	0.47	7.45	0.38	7	0.41	2.86	0.39	8	0.48	3.83	0.21	7	0.43	2.99	0.32	13	1.06	13.84	1.14	9	0.63	5.63	0.38	10	0.75	7.49	0.85	15	1.01	15.15	1.13	6	0.59	3.57	0.31	17	0.35	6.02	0.25	15	0.49	7.42	0.32	12	0.46	5.58	0.27	10	0.55	5.47	0.54	6	0.56	3.33	0.63	10	0.86	8.56	0.83	2	0.80	1.61	0.89	6	2.24	13.42	2.27	9	0.36	3.26	0.26	5	0.33	1.64	0.29
P31	36	0.78	28.04	0.61	2	0.06	0.12	0.01	40	0.56	22.40	0.40	3	0.14	0.42	0.02	30	0.59	17.81	0.49	6	0.16	0.94	0.14	39	0.81	31.51	1.11	1	0.17	0.17	-	33	0.82	27.07	0.93	2	0.05	0.09	0.01	36	0.79	28.35	0.76	1	0.07	0.07	-	40	0.68	27.01	0.51	4	0.22	0.88	0.16	39	0.77	30.01	0.61	1	0.04	0.04	-	47	0.64	30.20	0.50	5	0.12	0.59	0.13	40	0.65	25.97	0.62	5	0.09	0.44	0.05	47	0.53	24.91	0.27	6	0.06	0.34	0.04	42	0.60	25.23	0.45	4	0.26	1.04	0.21	22	1.03	22.75	0.96	2	0.06	0.12	0.04	37	0.69	25.38	0.44	8	0.13	1.03	0.17	37	0.56	20.57	0.29	6	0.10	0.62	0.03	22	0.76	16.61	0.60	6	0.26	1.54	0.24
Ting-Yu	12	0.61	7.27	0.51	19	0.59	11.19	0.57	9	0.21	1.87	0.35	23	0.81	18.70	0.54	6	0.26	1.59	0.20	29	0.79	22.95	0.44	23	0.66	15.29	0.60	15	1.03	15.50	1.21	11	0.28	3.03	0.23	26	0.89	23.26	0.72	11	0.44	4.89	0.34	14	0.51	7.13	0.44	3	0.38	1.14	0.27	47	0.53	25.00	0.49	5	0.19	0.95	0.12	21	0.60	12.66	0.50	9	0.39	3.50	0.29	25	0.57	14.34	0.48	9	0.14	1.30	0.09	34	0.41	14.10	0.44	23	0.23	5.21	0.19	27	0.36	9.61	0.25	7	0.19	1.32	0.15	43	0.33	14.28	0.27	9	0.14	1.22	0.10	28	0.43	12.11	0.39	10	0.22	2.21	0.20	25	0.60	15.09	0.62	3	0.12	0.37	0.05	27	0.55	14.73	0.39	5	0.18	0.90	0.15	23	0.45	10.39	0.30
All Recordings	517	0.72	372.91	1.04	159	0.51	81.56	0.64	496	0.58	286.88	0.75	208	0.63	131.98	0.50	479	0.61	290.04	0.85	308	0.70	215.33	0.84	536	0.74	397.53	0.95	254	0.68	173.35	0.86	502	0.75	374.76	0.96	248	0.73	181.34	0.69	597	0.64	384.19	0.71	245	0.43	105.45	0.43	463	0.75	346.01	0.99	430	0.60	257.76	0.74	505	0.69	349.90	0.87	232	0.56	130.99	0.65	596	0.63	377.52	0.81	287	0.53	150.75	0.54	474	0.76	361.83	1.08	312	0.52	162.43	0.56	657	0.59	390.83	0.68	265	0.48	126.83	0.38	558	0.57	316.02	0.68	418	0.42	177.34	0.33	314	0.69	215.99	0.85	320	0.80	257.25	0.99	364	0.66	241.12	0.91	384	0.55	212.63	0.53	290	0.77	224.21	1.07	384	0.78	301.41	1.06	318	0.59	188.69	0.78	224	0.53	119.40	0.58
