	Visit Duration_m_WF002_1PT.avi_eye_N	Visit Duration_m_WF002_1PT.avi_eye_Mean	Visit Duration_m_WF002_1PT.avi_eye_Sum	Visit Duration_m_WF002_1PT.avi_eye_Stdev	Visit Duration_m_WF002_1PT.avi_mouth_N	Visit Duration_m_WF002_1PT.avi_mouth_Mean	Visit Duration_m_WF002_1PT.avi_mouth_Sum	Visit Duration_m_WF002_1PT.avi_mouth_Stdev	Visit Duration_m_WF009_4PL.avi_eye_N	Visit Duration_m_WF009_4PL.avi_eye_Mean	Visit Duration_m_WF009_4PL.avi_eye_Sum	Visit Duration_m_WF009_4PL.avi_eye_Stdev	Visit Duration_m_WF009_4PL.avi_mouth_N	Visit Duration_m_WF009_4PL.avi_mouth_Mean	Visit Duration_m_WF009_4PL.avi_mouth_Sum	Visit Duration_m_WF009_4PL.avi_mouth_Stdev	Visit Duration_m_WF011_1PT.avi_eye_N	Visit Duration_m_WF011_1PT.avi_eye_Mean	Visit Duration_m_WF011_1PT.avi_eye_Sum	Visit Duration_m_WF011_1PT.avi_eye_Stdev	Visit Duration_m_WF011_1PT.avi_mouth_N	Visit Duration_m_WF011_1PT.avi_mouth_Mean	Visit Duration_m_WF011_1PT.avi_mouth_Sum	Visit Duration_m_WF011_1PT.avi_mouth_Stdev	Visit Duration_m_WF013_1PT.avi_eye_N	Visit Duration_m_WF013_1PT.avi_eye_Mean	Visit Duration_m_WF013_1PT.avi_eye_Sum	Visit Duration_m_WF013_1PT.avi_eye_Stdev	Visit Duration_m_WF013_1PT.avi_mouth_N	Visit Duration_m_WF013_1PT.avi_mouth_Mean	Visit Duration_m_WF013_1PT.avi_mouth_Sum	Visit Duration_m_WF013_1PT.avi_mouth_Stdev	Visit Duration_m_WF014_4PL.avi_eye_N	Visit Duration_m_WF014_4PL.avi_eye_Mean	Visit Duration_m_WF014_4PL.avi_eye_Sum	Visit Duration_m_WF014_4PL.avi_eye_Stdev	Visit Duration_m_WF014_4PL.avi_mouth_N	Visit Duration_m_WF014_4PL.avi_mouth_Mean	Visit Duration_m_WF014_4PL.avi_mouth_Sum	Visit Duration_m_WF014_4PL.avi_mouth_Stdev	Visit Duration_m_WF017_4PL.avi_eye_N	Visit Duration_m_WF017_4PL.avi_eye_Mean	Visit Duration_m_WF017_4PL.avi_eye_Sum	Visit Duration_m_WF017_4PL.avi_eye_Stdev	Visit Duration_m_WF017_4PL.avi_mouth_N	Visit Duration_m_WF017_4PL.avi_mouth_Mean	Visit Duration_m_WF017_4PL.avi_mouth_Sum	Visit Duration_m_WF017_4PL.avi_mouth_Stdev	Visit Duration_m_WF022_4PL.avi_eye_N	Visit Duration_m_WF022_4PL.avi_eye_Mean	Visit Duration_m_WF022_4PL.avi_eye_Sum	Visit Duration_m_WF022_4PL.avi_eye_Stdev	Visit Duration_m_WF022_4PL.avi_mouth_N	Visit Duration_m_WF022_4PL.avi_mouth_Mean	Visit Duration_m_WF022_4PL.avi_mouth_Sum	Visit Duration_m_WF022_4PL.avi_mouth_Stdev	Visit Duration_m_WF024_1PT.avi_eye_N	Visit Duration_m_WF024_1PT.avi_eye_Mean	Visit Duration_m_WF024_1PT.avi_eye_Sum	Visit Duration_m_WF024_1PT.avi_eye_Stdev	Visit Duration_m_WF024_1PT.avi_mouth_N	Visit Duration_m_WF024_1PT.avi_mouth_Mean	Visit Duration_m_WF024_1PT.avi_mouth_Sum	Visit Duration_m_WF024_1PT.avi_mouth_Stdev	Visit Duration_s_WF005_4PL.avi_eye_N	Visit Duration_s_WF005_4PL.avi_eye_Mean	Visit Duration_s_WF005_4PL.avi_eye_Sum	Visit Duration_s_WF005_4PL.avi_eye_Stdev	Visit Duration_s_WF005_4PL.avi_mouth_N	Visit Duration_s_WF005_4PL.avi_mouth_Mean	Visit Duration_s_WF005_4PL.avi_mouth_Sum	Visit Duration_s_WF005_4PL.avi_mouth_Stdev	Visit Duration_s_WF007_4PL.avi_eye_N	Visit Duration_s_WF007_4PL.avi_eye_Mean	Visit Duration_s_WF007_4PL.avi_eye_Sum	Visit Duration_s_WF007_4PL.avi_eye_Stdev	Visit Duration_s_WF007_4PL.avi_mouth_N	Visit Duration_s_WF007_4PL.avi_mouth_Mean	Visit Duration_s_WF007_4PL.avi_mouth_Sum	Visit Duration_s_WF007_4PL.avi_mouth_Stdev	Visit Duration_s_WF016_4PL.avi_eye_N	Visit Duration_s_WF016_4PL.avi_eye_Mean	Visit Duration_s_WF016_4PL.avi_eye_Sum	Visit Duration_s_WF016_4PL.avi_eye_Stdev	Visit Duration_s_WF016_4PL.avi_mouth_N	Visit Duration_s_WF016_4PL.avi_mouth_Mean	Visit Duration_s_WF016_4PL.avi_mouth_Sum	Visit Duration_s_WF016_4PL.avi_mouth_Stdev	Visit Duration_s_WF018_1PT.avi_eye_N	Visit Duration_s_WF018_1PT.avi_eye_Mean	Visit Duration_s_WF018_1PT.avi_eye_Sum	Visit Duration_s_WF018_1PT.avi_eye_Stdev	Visit Duration_s_WF018_1PT.avi_mouth_N	Visit Duration_s_WF018_1PT.avi_mouth_Mean	Visit Duration_s_WF018_1PT.avi_mouth_Sum	Visit Duration_s_WF018_1PT.avi_mouth_Stdev	Visit Duration_s_WF021_1PT.avi_eye_N	Visit Duration_s_WF021_1PT.avi_eye_Mean	Visit Duration_s_WF021_1PT.avi_eye_Sum	Visit Duration_s_WF021_1PT.avi_eye_Stdev	Visit Duration_s_WF021_1PT.avi_mouth_N	Visit Duration_s_WF021_1PT.avi_mouth_Mean	Visit Duration_s_WF021_1PT.avi_mouth_Sum	Visit Duration_s_WF021_1PT.avi_mouth_Stdev	Visit Duration_s_WF022_1PT.avi_eye_N	Visit Duration_s_WF022_1PT.avi_eye_Mean	Visit Duration_s_WF022_1PT.avi_eye_Sum	Visit Duration_s_WF022_1PT.avi_eye_Stdev	Visit Duration_s_WF022_1PT.avi_mouth_N	Visit Duration_s_WF022_1PT.avi_mouth_Mean	Visit Duration_s_WF022_1PT.avi_mouth_Sum	Visit Duration_s_WF022_1PT.avi_mouth_Stdev	Visit Duration_s_WF023_4PL.avi_eye_N	Visit Duration_s_WF023_4PL.avi_eye_Mean	Visit Duration_s_WF023_4PL.avi_eye_Sum	Visit Duration_s_WF023_4PL.avi_eye_Stdev	Visit Duration_s_WF023_4PL.avi_mouth_N	Visit Duration_s_WF023_4PL.avi_mouth_Mean	Visit Duration_s_WF023_4PL.avi_mouth_Sum	Visit Duration_s_WF023_4PL.avi_mouth_Stdev	Visit Duration_s_WF025_1PT.avi_eye_N	Visit Duration_s_WF025_1PT.avi_eye_Mean	Visit Duration_s_WF025_1PT.avi_eye_Sum	Visit Duration_s_WF025_1PT.avi_eye_Stdev	Visit Duration_s_WF025_1PT.avi_mouth_N	Visit Duration_s_WF025_1PT.avi_mouth_Mean	Visit Duration_s_WF025_1PT.avi_mouth_Sum	Visit Duration_s_WF025_1PT.avi_mouth_Stdev
P10	11	0.78	8.57	0.73	2	0.43	0.87	0.13	5	0.30	1.48	0.22	5	0.59	2.93	0.41	3	0.40	1.20	0.35	4	1.42	5.69	0.59	2	0.38	0.77	0.20	7	1.23	8.58	0.71	4	0.95	3.81	1.07	3	1.25	3.76	1.06	9	0.65	5.83	0.43	3	0.51	1.54	0.06	3	0.81	2.44	0.55	6	0.82	4.92	0.23	8	0.65	5.16	0.54	2	0.50	1.00	0.46	3	0.68	2.04	0.53	5	0.54	2.70	0.26	8	0.60	4.77	0.38	2	0.16	0.32	0.09	13	0.71	9.22	0.48	2	0.82	1.64	0.92	6	0.41	2.47	0.28	6	0.25	1.48	0.10	4	0.27	1.08	0.27	7	0.48	3.34	0.41	2	0.10	0.20	0.07	7	0.43	3.04	0.21	-	-	-	-	3	1.61	4.83	1.28	5	0.62	3.10	0.28	-	-	-	-
P11	7	2.10	14.67	1.71	-	-	-	-	15	0.73	10.96	0.98	4	0.38	1.52	0.21	13	1.19	15.42	2.07	6	0.35	2.11	0.19	11	1.61	17.67	2.38	3	0.36	1.07	0.02	15	1.06	15.96	1.28	4	0.64	2.55	0.35	17	1.32	22.52	1.62	-	-	-	-	14	1.17	16.41	1.58	4	0.55	2.21	0.32	13	1.97	25.64	2.56	-	-	-	-	14	1.00	14.02	1.20	4	0.46	1.84	0.24	21	0.68	14.33	0.54	2	0.44	0.89	0.16	20	0.85	17.09	0.86	10	0.31	3.12	0.22	23	0.70	16.02	0.85	-	-	-	-	17	0.50	8.56	0.51	1	0.20	0.20	-	19	0.56	10.57	0.58	7	0.36	2.52	0.12	14	0.28	3.98	0.25	3	0.23	0.68	0.13	9	0.38	3.42	0.51	5	0.12	0.60	0.09
P12	2	0.76	1.52	0.42	8	0.76	6.09	0.61	7	0.33	2.29	0.17	7	1.04	7.31	0.63	1	2.12	2.12	-	8	1.19	9.54	0.83	1	0.60	0.60	-	7	1.19	8.34	0.96	4	0.47	1.88	0.23	17	1.34	22.86	1.89	10	0.35	3.53	0.25	17	0.50	8.50	0.31	1	0.40	0.40	-	19	0.85	16.09	0.71	4	0.17	0.68	0.20	14	0.79	11.05	0.69	1	1.52	1.52	-	6	0.52	3.11	0.43	3	0.48	1.43	0.42	9	0.36	3.24	0.25	7	0.23	1.60	0.13	6	0.59	3.53	0.10	5	0.52	2.59	0.25	16	0.56	8.90	0.43	3	0.65	1.94	0.52	16	0.76	12.09	0.73	-	-	-	-	14	0.79	11.04	0.50	1	0.05	0.05	-	9	0.95	8.55	0.63	6	0.38	2.28	0.38	6	0.87	5.21	0.99
P13	3	4.14	12.41	6.23	1	0.24	0.24	-	-	-	-	-	-	-	-	-	6	4.81	28.86	2.79	1	0.36	0.36	-	6	5.95	35.71	2.83	2	0.05	0.10	0.00	9	3.24	29.19	1.97	1	2.37	2.37	-	14	1.80	25.20	1.28	2	0.42	0.83	0.19	7	4.90	34.28	5.39	-	-	-	-	12	2.92	35.07	2.83	-	-	-	-	5	7.16	35.82	7.60	-	-	-	-	3	12.31	36.92	11.69	-	-	-	-	5	6.66	33.28	8.66	1	0.34	0.34	-	9	3.16	28.42	4.91	1	0.26	0.26	-	16	1.38	22.13	1.94	1	0.08	0.08	-	6	4.34	26.03	3.19	1	1.69	1.69	-	4	7.61	30.44	9.88	2	1.79	3.58	0.67	15	1.42	21.37	1.71	1	0.45	0.45	-
P14	7	0.50	3.49	0.34	10	0.60	5.98	0.39	10	0.40	3.99	0.24	15	0.71	10.62	0.34	2	0.05	0.10	0.00	22	0.95	20.87	1.40	2	0.93	1.87	0.32	21	0.73	15.25	0.66	1	0.26	0.26	-	21	0.97	20.27	0.89	6	0.25	1.49	0.24	22	0.71	15.66	0.66	1	0.06	0.06	-	17	1.77	30.11	1.17	2	0.33	0.66	0.25	16	1.19	19.06	1.05	-	-	-	-	17	1.13	19.29	0.79	1	0.21	0.21	-	14	1.99	27.85	2.48	2	0.07	0.14	0.01	19	1.16	22.07	1.09	2	0.49	0.97	0.48	16	1.54	24.65	1.92	1	0.42	0.42	-	14	1.32	18.48	1.67	-	-	-	-	8	3.87	30.92	2.47	-	-	-	-	3	12.41	37.23	8.75	1	0.17	0.17	-	17	1.19	20.19	1.27
P15	2	0.30	0.61	0.14	-	-	-	-	9	0.43	3.91	0.37	-	-	-	-	7	0.39	2.71	0.10	-	-	-	-	5	0.37	1.83	0.30	-	-	-	-	10	0.55	5.50	0.35	-	-	-	-	8	1.03	8.27	0.93	-	-	-	-	13	0.40	5.18	0.34	2	0.90	1.79	1.20	13	0.41	5.39	0.36	-	-	-	-	8	1.08	8.65	1.42	1	0.03	0.03	-	7	0.28	1.99	0.25	-	-	-	-	12	0.48	5.76	0.38	-	-	-	-	10	0.30	2.96	0.17	1	0.00	0.00	-	-	-	-	-	-	-	-	-	10	0.37	3.73	0.31	-	-	-	-	2	0.47	0.93	0.54	-	-	-	-	2	0.19	0.38	0.24	-	-	-	-
P16	6	2.14	12.84	2.98	3	0.60	1.80	0.56	12	0.96	11.56	0.72	4	0.15	0.59	0.13	8	1.15	9.24	1.31	5	0.11	0.56	0.11	8	3.41	27.25	4.32	3	0.53	1.59	0.23	9	1.50	13.51	1.92	4	0.36	1.45	0.38	9	0.86	7.76	0.66	6	0.25	1.48	0.23	13	0.83	10.73	1.25	11	0.43	4.69	0.59	9	0.54	4.85	0.49	4	1.25	5.01	1.00	5	0.82	4.11	0.41	7	0.94	6.58	0.73	9	0.47	4.19	0.50	10	0.45	4.46	0.38	8	0.97	7.74	1.22	9	0.55	4.99	0.36	10	0.44	4.38	0.40	16	1.05	16.78	1.46	2	0.05	0.11	0.06	12	1.62	19.44	1.84	5	0.38	1.92	0.26	14	1.08	15.17	1.00	8	0.33	2.65	0.23	13	1.14	14.78	1.42	5	0.31	1.56	0.44	6	0.65	3.91	0.41
P17	2	0.94	1.89	0.43	2	0.48	0.95	0.16	2	0.53	1.07	0.54	3	0.54	1.63	0.30	1	0.09	0.09	-	3	0.71	2.12	0.42	1	0.17	0.17	-	-	-	-	-	1	0.03	0.03	-	1	0.72	0.72	-	6	0.56	3.39	0.31	5	0.47	2.33	0.31	1	0.93	0.93	-	6	0.73	4.39	0.38	1	0.22	0.22	-	3	0.28	0.84	0.03	4	0.13	0.50	0.09	5	0.76	3.81	0.65	2	0.42	0.84	0.45	1	0.26	0.26	-	3	1.34	4.01	1.28	2	0.48	0.95	0.21	4	0.45	1.81	0.17	3	0.10	0.30	0.12	3	0.83	2.48	0.72	8	1.22	9.73	1.81	-	-	-	-	3	0.81	2.43	0.20	1	0.08	0.08	-	3	0.39	1.18	0.31	6	0.34	2.05	0.16	-	-	-	-
P18	13	0.94	12.23	0.85	7	0.69	4.83	0.66	10	0.44	4.35	0.37	8	0.99	7.92	0.76	9	0.38	3.43	0.30	21	0.69	14.45	0.48	-	-	-	-	13	1.43	18.60	2.11	8	0.41	3.31	0.27	14	0.90	12.65	0.75	14	0.51	7.09	0.43	13	0.69	8.93	0.46	7	0.46	3.23	0.37	14	1.18	16.59	0.80	5	0.86	4.28	0.62	11	1.30	14.29	2.09	17	0.48	8.14	0.43	18	0.49	8.81	0.25	8	0.57	4.55	0.39	10	0.48	4.84	0.44	8	0.66	5.28	0.70	21	0.57	12.06	0.30	5	0.50	2.52	0.26	17	0.90	15.32	0.72	2	0.42	0.83	0.48	11	1.12	12.35	1.20	2	0.13	0.25	0.18	17	0.55	9.41	0.51	1	0.17	0.17	-	11	0.75	8.25	0.64	2	0.25	0.49	0.09	14	0.73	10.25	0.53
P19	7	1.22	8.54	1.22	4	0.40	1.61	0.28	13	1.26	16.38	1.06	1	0.38	0.38	-	10	0.90	8.96	1.06	6	0.36	2.13	0.11	9	1.25	11.24	1.19	9	0.55	4.96	0.55	11	2.32	25.52	2.23	4	0.46	1.84	0.41	9	0.46	4.16	0.43	3	0.14	0.43	0.12	10	1.42	14.19	1.59	1	0.65	0.65	-	3	2.66	7.98	1.73	-	-	-	-	4	8.17	32.68	10.61	2	0.50	0.99	0.38	7	4.39	30.75	3.87	-	-	-	-	10	2.90	29.04	2.74	1	0.34	0.34	-	14	1.52	21.25	1.47	3	0.23	0.70	0.24	14	0.78	10.98	0.38	5	0.35	1.75	0.27	9	1.68	15.15	2.34	6	0.45	2.71	0.23	6	1.97	11.84	1.42	2	0.23	0.46	0.10	14	1.44	20.20	1.59	3	0.20	0.61	0.08
P20	1	0.09	0.09	-	9	0.22	2.01	0.22	2	0.38	0.76	0.14	12	0.64	7.73	0.93	2	0.17	0.34	0.11	22	0.66	14.47	0.76	2	0.21	0.42	0.28	7	0.94	6.59	0.95	4	0.10	0.40	0.08	15	0.59	8.92	0.52	6	0.31	1.87	0.18	17	0.33	5.63	0.37	1	0.17	0.17	-	14	1.57	22.04	1.76	-	-	-	-	4	0.40	1.60	0.24	-	-	-	-	11	0.41	4.50	0.30	3	0.23	0.68	0.19	4	1.94	7.74	3.43	9	0.42	3.79	0.39	12	0.31	3.69	0.16	6	0.27	1.61	0.18	20	0.42	8.35	0.61	4	0.15	0.60	0.13	18	1.24	22.33	0.93	1	0.29	0.29	-	14	0.42	5.90	0.45	-	-	-	-	20	0.66	13.17	0.56	3	0.16	0.47	0.11	18	0.48	8.63	0.36
P21	7	0.34	2.40	0.36	11	1.53	16.86	1.55	5	0.26	1.29	0.05	14	1.04	14.51	0.62	-	-	-	-	15	1.82	27.23	1.87	2	0.24	0.48	0.25	17	1.02	17.41	0.59	12	0.35	4.16	0.27	16	1.26	20.22	0.79	5	0.53	2.63	0.20	17	0.85	14.42	0.70	1	0.13	0.13	-	10	3.51	35.12	3.07	5	0.36	1.78	0.29	18	0.85	15.23	0.77	1	0.03	0.03	-	16	0.79	12.62	0.80	-	-	-	-	10	3.13	31.34	3.43	3	0.25	0.75	0.05	13	1.25	16.27	1.40	-	-	-	-	11	2.33	25.67	1.41	-	-	-	-	18	1.35	24.29	1.25	-	-	-	-	7	4.20	29.41	2.77	-	-	-	-	2	18.42	36.84	23.35	-	-	-	-	11	1.78	19.60	2.48
P23	16	1.29	20.72	1.38	1	0.23	0.23	-	15	1.56	23.47	1.52	2	0.51	1.02	0.38	25	0.98	24.41	0.89	6	0.40	2.42	0.43	11	2.96	32.52	2.70	1	0.37	0.37	-	19	1.10	20.85	0.78	5	0.18	0.91	0.18	16	1.47	23.50	1.19	-	-	-	-	14	1.80	25.14	1.32	1	1.54	1.54	-	18	0.66	11.82	0.81	4	0.43	1.73	0.26	21	0.88	18.57	0.58	4	0.14	0.58	0.13	15	0.64	9.63	0.41	3	0.07	0.21	0.05	15	1.04	15.67	0.89	3	0.49	1.47	0.67	25	0.48	12.09	0.43	1	0.01	0.01	-	14	0.30	4.19	0.49	7	0.43	3.04	0.53	13	0.79	10.28	0.82	3	0.50	1.50	0.41	23	0.40	9.10	0.41	5	0.35	1.74	0.14	6	0.37	2.23	0.38	2	0.04	0.08	0.04
P24	16	1.08	17.32	1.13	1	0.36	0.36	-	10	0.75	7.49	0.53	3	0.96	2.88	0.58	7	0.32	2.21	0.20	8	0.57	4.57	0.52	3	0.75	2.26	0.48	1	0.85	0.85	-	17	0.83	14.18	1.09	5	0.62	3.09	0.47	20	0.93	18.57	0.79	1	0.16	0.16	-	9	0.62	5.54	0.70	4	1.08	4.30	1.07	14	0.92	12.85	0.93	3	0.71	2.14	0.07	11	1.96	21.53	1.57	2	1.05	2.10	1.12	12	0.95	11.35	1.08	1	0.14	0.14	-	12	1.63	19.53	1.81	1	0.28	0.28	-	14	0.69	9.64	0.52	5	0.37	1.84	0.34	10	0.39	3.87	0.31	5	0.52	2.60	0.31	3	0.37	1.10	0.14	3	1.18	3.55	0.81	-	-	-	-	-	-	-	-	7	0.31	2.16	0.22	-	-	-	-
P25	10	1.57	15.72	2.22	-	-	-	-	6	2.34	14.03	2.30	1	0.22	0.22	-	13	1.33	17.24	1.47	-	-	-	-	8	1.99	15.91	1.78	1	0.45	0.45	-	12	1.27	15.19	0.93	1	0.05	0.05	-	23	0.83	19.11	0.69	-	-	-	-	10	2.65	26.50	2.39	3	0.67	2.00	0.36	14	0.92	12.90	0.52	-	-	-	-	10	0.86	8.59	1.01	-	-	-	-	13	1.39	18.11	1.00	3	0.04	0.13	0.00	12	1.68	20.14	1.56	1	0.05	0.05	-	17	1.02	17.29	1.16	1	0.18	0.18	-	7	0.31	2.14	0.45	1	0.04	0.04	-	20	0.57	11.44	0.55	2	0.17	0.35	0.02	16	0.56	8.88	0.54	1	0.92	0.92	-	9	0.60	5.42	0.72	1	0.03	0.03	-
P26	10	2.28	22.84	2.42	8	0.48	3.86	0.43	14	1.79	25.09	2.45	4	0.45	1.79	0.35	16	0.90	14.35	1.42	11	0.55	6.06	0.27	16	1.38	22.05	0.96	12	0.80	9.63	0.65	11	2.19	24.10	2.95	8	0.68	5.44	0.26	19	1.06	20.08	1.52	7	0.34	2.39	0.18	10	0.68	6.77	0.51	8	0.77	6.15	0.35	13	0.89	11.52	0.87	7	0.34	2.35	0.27	12	2.01	24.07	3.62	6	0.59	3.53	0.63	15	0.97	14.51	0.90	14	0.40	5.61	0.25	10	1.76	17.59	2.83	5	0.89	4.44	0.59	12	0.68	8.16	0.30	20	0.62	12.34	0.46	10	0.58	5.84	0.33	10	0.57	5.71	0.73	7	1.46	10.24	2.56	10	0.95	9.50	1.03	14	1.36	18.99	1.92	13	0.96	12.42	1.14	7	0.52	3.67	0.45	5	0.78	3.88	0.71
P27	3	0.22	0.66	0.05	13	0.57	7.35	0.63	1	0.23	0.23	-	17	0.93	15.85	0.57	3	0.38	1.15	0.29	16	1.03	16.53	0.82	1	0.09	0.09	-	17	1.30	22.07	1.37	5	0.16	0.80	0.07	15	0.57	8.57	0.42	2	0.14	0.28	0.15	16	0.86	13.73	0.88	1	0.15	0.15	-	25	0.88	22.07	0.87	1	0.17	0.17	-	23	0.67	15.52	0.59	1	0.16	0.16	-	26	0.66	17.14	0.52	1	0.15	0.15	-	20	1.15	22.95	0.85	5	0.17	0.87	0.17	16	0.81	13.03	0.71	4	0.20	0.79	0.10	15	1.12	16.82	1.53	-	-	-	-	25	1.20	29.96	1.18	2	0.02	0.04	0.01	21	0.77	16.19	0.63	1	0.19	0.19	-	16	1.64	26.23	1.52	-	-	-	-	17	0.60	10.22	0.34
P28	12	1.36	16.30	1.32	4	0.25	1.01	0.14	1	0.14	0.14	-	9	0.89	8.05	0.52	9	0.35	3.15	0.20	19	0.71	13.46	0.54	1	0.51	0.51	-	10	0.56	5.59	0.61	17	0.73	12.43	0.59	16	0.43	6.95	0.24	7	1.36	9.53	2.12	17	0.36	6.06	0.33	9	0.25	2.22	0.21	21	0.49	10.33	0.31	12	0.61	7.27	0.52	17	0.43	7.30	0.31	5	2.07	10.37	2.50	11	0.44	4.82	0.18	7	1.04	7.28	0.98	13	0.57	7.35	0.58	10	1.13	11.31	1.18	16	0.43	6.88	0.37	5	0.49	2.47	0.29	15	0.78	11.77	0.76	4	0.17	0.70	0.09	25	0.79	19.69	0.73	1	0.16	0.16	-	14	0.45	6.31	0.31	2	1.85	3.70	1.06	17	0.51	8.61	0.40	2	0.41	0.81	0.17	16	0.67	10.80	0.55
P29	9	2.90	26.09	2.62	1	0.76	0.76	-	10	2.51	25.06	2.58	5	0.77	3.85	0.48	10	3.01	30.15	2.51	3	1.17	3.51	1.06	5	6.51	32.54	4.96	1	1.19	1.19	-	7	3.92	27.45	4.22	2	0.79	1.58	0.23	12	2.61	31.26	1.77	1	0.19	0.19	-	13	2.53	32.93	3.24	4	0.81	3.23	0.24	9	3.94	35.44	2.96	-	-	-	-	12	2.30	27.55	1.41	5	1.05	5.25	1.12	7	4.90	34.29	4.08	-	-	-	-	8	3.81	30.47	2.13	2	0.29	0.58	0.32	9	2.41	21.73	2.38	-	-	-	-	19	1.17	22.24	1.01	1	0.71	0.71	-	13	1.90	24.71	1.50	5	0.48	2.41	0.40	11	1.40	15.35	1.68	3	1.06	3.19	0.29	12	1.69	20.30	1.55	1	0.08	0.08	-
P30	9	1.64	14.76	2.80	3	1.07	3.21	1.54	4	0.50	2.01	0.17	4	0.85	3.38	0.89	10	1.35	13.47	1.73	7	0.69	4.80	0.42	10	1.34	13.37	1.13	9	1.19	10.73	2.40	12	0.81	9.77	0.85	10	1.91	19.12	1.37	22	0.64	14.15	0.66	7	0.42	2.95	0.27	14	0.44	6.12	0.18	15	0.50	7.45	0.38	7	0.41	2.86	0.39	8	0.48	3.83	0.21	6	0.52	3.14	0.27	12	1.16	13.97	1.25	7	0.83	5.82	0.61	10	0.75	7.49	0.85	11	1.41	15.50	1.50	5	0.71	3.57	0.34	15	0.40	6.02	0.30	12	0.62	7.42	0.27	8	0.76	6.09	0.79	10	0.55	5.47	0.54	6	0.56	3.33	0.63	10	0.86	8.56	0.83	2	0.80	1.61	0.89	6	2.24	13.42	2.27	9	0.36	3.26	0.26	5	0.33	1.64	0.29
P31	8	3.51	28.04	4.12	2	0.06	0.12	0.01	18	1.27	22.92	1.53	3	0.14	0.42	0.02	14	1.29	18.08	1.67	6	0.16	0.94	0.14	10	3.26	32.61	4.87	1	0.17	0.17	-	13	2.15	27.97	2.98	2	0.05	0.09	0.01	16	1.80	28.85	1.68	1	0.07	0.07	-	13	2.08	27.01	2.00	4	0.22	0.88	0.16	12	2.56	30.72	2.70	1	0.04	0.04	-	10	3.07	30.70	2.21	5	0.12	0.59	0.13	9	3.03	27.31	4.64	5	0.09	0.44	0.05	13	2.00	25.96	2.01	4	0.09	0.34	0.07	11	2.32	25.51	4.11	3	0.42	1.27	0.18	19	1.20	22.75	0.96	2	0.06	0.12	0.04	12	2.11	25.38	1.80	7	0.15	1.03	0.17	15	1.37	20.57	1.22	6	0.10	0.62	0.03	13	1.33	17.31	1.24	6	0.26	1.54	0.24
Ting-Yu	8	0.91	7.27	0.73	13	0.89	11.57	0.83	9	0.21	1.87	0.35	9	2.44	21.93	1.91	6	0.26	1.59	0.20	13	2.04	26.46	2.02	14	1.15	16.17	0.86	13	1.21	15.67	1.28	6	0.62	3.71	0.59	14	1.85	25.94	1.83	7	0.78	5.49	0.53	11	0.65	7.13	0.49	3	0.38	1.14	0.27	19	1.56	29.69	1.15	4	0.32	1.28	0.35	10	1.51	15.06	1.83	8	0.46	3.64	0.28	17	0.94	16.00	0.97	8	0.20	1.56	0.12	20	0.81	16.28	0.83	18	0.31	5.54	0.38	19	0.54	10.20	0.40	6	0.22	1.32	0.25	18	0.96	17.30	0.84	9	0.14	1.22	0.10	22	0.63	13.81	0.54	6	0.50	3.02	0.47	12	1.38	16.54	1.41	3	0.12	0.37	0.05	14	1.25	17.55	1.17	5	0.18	0.90	0.15	12	0.96	11.47	0.62
All Recordings	234	1.67	391.82	2.41	132	0.63	83.02	0.73	251	1.21	303.07	1.67	165	0.84	137.92	0.81	251	1.26	316.70	1.85	251	0.89	222.90	1.31	184	2.36	434.49	3.77	193	0.92	178.48	1.09	270	1.48	399.26	1.98	201	0.94	188.39	1.06	369	1.09	400.58	1.18	204	0.53	108.01	0.52	256	1.45	372.08	2.15	271	1.03	279.24	1.23	264	1.39	366.28	2.20	174	0.79	138.04	1.01	237	1.72	406.75	3.21	220	0.71	157.22	0.72	218	1.75	381.51	3.55	191	0.94	178.86	1.48	300	1.45	435.78	2.35	201	0.65	130.80	0.68	297	1.12	331.79	2.03	240	0.79	190.23	1.00	248	0.91	224.60	1.21	265	1.00	266.14	1.23	190	1.34	255.15	2.19	243	0.91	222.08	1.22	179	1.32	236.95	2.43	215	1.48	317.63	3.53	214	0.93	197.98	1.57	177	0.69	122.96	0.90
